Office Code,Office Name,Office Name in Bangla,Office Address,Mobile,Email,is Payment office,Payment office Code
198,"Chief Engineer, Barapukuria Coal Based Power Station","প্রধান প্রকৌশলীর দপ্তর, বড়পুকুরিয়া কয়লা ভিত্তিক তাপ বিদ্যুৎ কেন্দ্র, বিউবো, দিনাজপুর","Barapukuria, Parbatipur, Dinajpur",,,FALSE,165
199,"Office of the Member, Distribution","সদস্য (বিতরণ) এর দপ্তর, বিউবো, ঢাকা","Wapda Buidling (1st Fl), Motijheel C/A. Dhaka-1000",,,FALSE,140
200,"OFFICE OF THE O&M CIRCLE-2, MYMENSINGH","তত্ত্বাবধায়ক প্রকৌশলীর দপ্তর, পরিচালন ও সংরক্ষণ সার্কেল-২, বিউবো, ময়মনসিংহ","Wapda Bhaban (1st Fl), Kewatlhali, Mymensingh",,,FALSE,145
201,"Chief Engineer, Southern Zone, Chittagong","প্রধান প্রকৌশলীর দপ্তর, বিতরণ (দক্ষিণাঞ্চল), চট্টগ্রাম ","Biddhut Bhaban, Agrtabad, CHITTAGONG",,,FALSE,141
202,"Manager(Operation), Khulna Power Station",,Khulna Power Station,,,FALSE,162
203,"Computer Centre, Chittagong","কম্পিউটার সেন্টার, বিউবো, চট্টগ্রাম","Biddyut Bhaban,(4th fl) Agrabad, Chittagong",,,FALSE,142
204,"O&M Circle, Chattro-Metro (East)","পরিচালন ও সংরক্ষণ সার্কেল, চট্টমেট্টো (পূর্ব), বিউবো, চট্টগ্রাম","Biddyut Bhaban, Agrabad,  CHITTAGONG",,,FALSE,142
205,"Sales and Distribution Division, Kalurghat","বিক্রয় ও বিতরণ বিভাগ, কালুরঘাট, বিউবো, চট্টগ্রাম","BFICD Road,Kalurghat Heavy C/A, Chandgaon, Ctg.",,,FALSE,142
206,"Sales and Distribution Division, Patharghata","বিক্রয় ও বিতরণ বিভাগ, পাথরঘাটা, বিউবো, চট্টগ্রাম","Riazuddin Bazar, Chittagong",,,FALSE,142
207,"Sales and Distribution Division, Stadium","বিক্রয় ও বিতরণ বিভাগ, স্টেডিয়াম, বিউবো, চট্টগ্রাম","Neval Avenue, Chittagong.",,,FALSE,142
209,"Sales and Distribution Division, Bakulia","বিক্রয় ও বিতরণ বিভাগ, বাকুলিয়া, বিউবো, চট্টগ্রাম","Sayed Shah Road, Chittagong.",,,FALSE,142
210,"Sales and Distribution Division, Madarbari","বিক্রয় ও বিতরণ বিভাগ, মাদারবাড়ী, বিউবো, চট্টগ্রাম","Riazudin Bazar, Station Road,Chittagong.",,,FALSE,142
211,"O&M Circle,Chattro-Metro (West)","পরিচালন ও সংরক্ষণ সার্কেল, চট্টমেট্রো (পশ্চিম), বিউবো, চট্টগ্রাম","Biddyut Bhaban (4th Floor), Agrabad, Chittagong.",,,FALSE,142
212,"Sales and Distribution Division, Agrabad","বিক্রয় ও বিতরণ বিভাগ, আগ্রাবাদ, বিউবো, চট্টগ্রাম","Agrabad Commercial Area, Chittagong.",,,FALSE,142
213,"Sales and Distribution Division, Khulshi","বিক্রয় ও বিতরণ বিভাগ, খুলশী, বিউবো, চট্টগ্রাম","Baiozid Bostami road, Nasirabad, Chittagong.",,,FALSE,142
214,"Sales and Distribution Division, Pahartoli","বিক্রয় ও বিতরণ বিভাগ, পাহাড়তলী, বিউবো, চট্টগ্রাম","A.K.Khan Gate, Pahartali, Chittagong.",,,FALSE,142
215,"Sales and Distribution Division, Halishahar","বিক্রয় ও বিতরণ বিভাগ, হালিশহর, বিউবো, চট্টগ্রাম","Newmuring,Nayerhat,South Halishohor, Chittagong.",,,FALSE,142
216,"Sales and Distribution Division, Newmooring","বিক্রয় ও বিতরণ বিভাগ, নিউমুরিং, বিউবো, চট্টগ্রাম","Nayerhat, Newmooring, South Halisohor, Chittagong.",,,FALSE,142
217,"Sales and Distribution Division, Rampur","বিক্রয় ও বিতরণ বিভাগ, রামপুর, বিউবো, চট্টগ্রাম","P.C Road, Wapda Mor, Halishahar, Chittagong.",,,FALSE,142
218,"O&M Circle, Chittagong (North)","পওস সার্কেল, চট্টগ্রাম (উত্তর),  বিউবো, চট্টগ্রাম","Biddhut Bhaban(3rd floor),Agrabad, Chittagong.",,,FALSE,141
219,"Sales and Distribution Division, Fauzderhat","বিক্রয় ও বিতরণ বিভাগ, ফৌজদারহাট, বিউবো, চট্টগ্রাম","Fouzderhat,Pdb, Chittagong",,,FALSE,141
220,"ESU, Sandwip","সন্দ্বীপ বিদ্যুৎ সরবরাহ, বিউবো, চট্টগ্রাম","Shandip, Bpdb.Ctg",,,FALSE,141
221,"Sales and Distribution Division, Barabkunda","বিক্রয় ও বিতরণ বিভাগ, বাড়বকুন্ড, বিউবো, চট্টগ্রাম","Shitakunda, Chittagong.",,,FALSE,141
222,"Sales and Distribution Division, Hathazari","বিক্রয় ও বিতরণ বিভাগ, হাটহাজারী, বিউবো, চট্টগ্রাম","Hathazari, Chittagong.",,,FALSE,141
223,"Sales and Distribution Division, Mohora","বিক্রয় ও বিতরণ বিভাগ, বিউবো, মোহরা, চট্টগ্রাম","A.K.khan Gate, Kaptai Road, Chittagong.",,,FALSE,141
224,"O&M Circle, Chittagong (South)","পওস সার্কেল, চট্টগ্রাম (দক্ষিণ), বিউবো, চট্টগ্রাম","Biddyut Bhaban (2nd floor) Agrabad, Chittagong.",,,FALSE,141
225,"Distribution Division,Patiya","বিতরণ বিভাগ, পটিয়া, বিউবো, চট্টগ্রাম","Patiya, Bpdb, Chittagong.",,,FALSE,141
226,"ESU, Satkania","সাতকানিয়া বিদ্যুৎ সরবরাহ, বিউবো, চট্টগ্রাম","Satkania, Bpdb. Chittagong.",,,FALSE,141
227,"ESU, Dohazari","দোহাজারী বিদ্যুৎ সরবরাহ, বিউবো, চট্টগ্রাম","Dohazari, Bpdb. Chittagong.",,,FALSE,141
228,"Distribution Division,Cox's Bazar","বিতরণ বিভাগ, বিউবো, কক্সবাজার","Biddyut Bhaban, Cox's Bazar",,,FALSE,141
229,Sales & Distribution Division Chokoria coxs Bazar,"বিক্রয় ও বিতরণ বিভাগ-চকরিয়া বিউবো, কক্সবাজার","Chokoria, Bpdb, Cox's Bazar",,,FALSE,141
230,"ESU, Ramu","রামু বিদ্যুৎ সরবরাহ, বিউবো, কক্সবাজার","Ramu, Bpdb,Cox's Bazar",,,FALSE,141
231,"ESU, Lama","লামা বিদ্যুৎ সরবরাহ, বিউবো, কক্সবাজার","Lama, Bpdb.Cox's Bazar",,,FALSE,141
232,"ESU, Kutubdia","কুতুবদিয়া বিদ্যুৎ সরবরাহ, বিউবো, কক্সবাজার","Kutubdia, Cox's Bazar",,,FALSE,141
233,"O&M Circle, Rangamati","পরিচালন ও সংরক্ষণ সার্কেল, বিউবো, রাঙ্গামাটি","Vedvedi, Rangamati.",,,FALSE,141
234,"Distribution Division, Rangamati","বিতরণ বিভাগ, বিউবো, রাঙ্গামাটি","Vedvedi, Rangamati.",,,FALSE,141
235,"ESU, Kaptai","কাপ্তাই বিদ্যুৎ সরবরাহ, বিউবো, রাঙ্গামাটি","Kaptai, Rangamati.",,,FALSE,160
236,"ESU, Betbunia","বেতবুনিয়া বিদ্যুৎ সরবরাহ, বিউবো, রাঙ্গামাটি","Betbunia,Bpdb,Rangamati",,,FALSE,141
237,"ESU, Marissha, Rangamati","মারিশ্যা বিদ্যুৎ সরবরাহ, বিউবো, রাঙ্গামাটি","Marishwa, Bpdb, Rangamati",,,FALSE,141
238,"Distribution Division,Khagrachari","বিতরণ বিভাগ, বিউবো, খাগড়াছড়ি",Khagrachari,,,FALSE,141
239,"ESU, Ramgarh,Khagrachari","রামগড় বিদ্যুৎ সরবরাহ, বিউবো, খাগড়াছড়ি","Ramgarh, Khagrachhori",,,FALSE,141
240,"ESU, Matiranga,Khagrachari","মাটিরাঙ্গা বিদ্যুৎ সরবরাহ, বিউবো, খাগড়াছড়ি","Matiranga, Khagrachhori",,,FALSE,141
241,"ESU, Manikchari,Khagrachari","মানিকছড়ি বিদ্যুৎ সরবরাহ, বিউবো, খাগড়াছড়ি","Manikchari, Khagrachari",,,FALSE,141
242,"ESU, Mohalchari,Khagrachari","মহালছড়ি বিদ্যুৎ সরবরাহ, বিউবো, খাগড়াছড়ি","Mahalchari, Khagrachari",,,FALSE,141
